Reach ID,Date,NO3-N concentration (mg/l),NO3-N  loading (kg/d)
8,2020-12,8.299,0.068
8,2021-01,8.628,0.03
8,2021-02,0.0,0.0
8,2021-03,740.604,0.019
8,2021-04,775.756,0.018
8,2021-05,10.48,0.02
8,2021-06,8350.155,0.017
8,2021-07,11940.169,0.016
8,2021-08,40.42,0.018
8,2021-09,4.739,0.019
8,2021-10,6679.811,0.016
8,2021-11,29.546,0.019
8,2021-12,31.431,0.019
8,2022-01,66.102,0.02
8,2022-02,0.0,0.0
8,2022-03,173.27,0.019
8,2022-04,5.119,0.02
8,2022-05,1.793,0.149
8,2022-06,9.243,0.009
9,2016-01,35.338,56.717
9,2016-02,35.972,3.339
9,2016-03,29.113,0.017
9,2016-04,27.919,73.517
9,2016-05,2.143,0.317
9,2016-06,50.909,0.002
9,2016-07,170.848,7.405
9,2016-08,0.865,0.0
9,2016-09,1.434,0.0
9,2016-10,0.15,0.428
9,2016-11,0.805,0.529
9,2016-12,5.119,1.638
9,2017-01,8.781,2.309
9,2017-02,10.562,0.393
9,2017-03,9.334,18.287
9,2017-04,10.648,17.383
9,2017-05,4.254,1.147
9,2017-06,170.554,0.017
9,2017-07,5.064,0.059
9,2017-08,0.0,0.0
9,2017-09,3.262,0.001
9,2017-10,0.0,0.0
9,2017-11,11.012,0.005
9,2017-12,9.936,9.527
9,2018-01,0.0,0.0
9,2018-02,12.656,0.632
9,2018-03,11.81,21.644
9,2018-04,54.881,0.029
9,2018-05,10.986,1.659
9,2018-06,9.356,1.851
9,2018-07,201.165,0.013
9,2018-08,0.139,0.049
9,2018-09,93.573,0.001
9,2018-10,0.248,0.549
9,2018-11,1.344,5.2
9,2018-12,5.206,2.986
9,2019-01,5.887,6.458
9,2019-02,0.0,0.0
9,2019-03,0.0,0.0
9,2019-04,9.572,1.436
9,2019-05,9.937,32.883
9,2019-06,5.899,1.669
9,2019-07,230.475,0.017
9,2019-08,79.896,0.015
9,2019-09,2.799,0.026
9,2019-10,3.443,0.002
9,2019-11,10.479,29.897
9,2019-12,10.184,7.007
9,2020-01,21.592,0.013
9,2020-02,9.437,6.824
9,2020-03,0.0,0.0
9,2020-04,6.658,11.554
9,2020-05,15.902,0.039
9,2020-06,5.049,0.785
9,2020-07,68.804,0.012
9,2020-08,9.592,15.463
9,2020-09,9.236,10.32
9,2020-10,4.126,0.018
9,2020-11,8.596,0.385
9,2020-12,9.603,10.332
9,2021-01,8.969,1.907
9,2021-02,0.0,0.0
9,2021-03,37.473,0.016
9,2021-04,16.407,0.003
9,2021-05,5.487,0.011
9,2021-06,54.614,0.002
9,2021-07,86.925,0.001
9,2021-08,3.272,0.003
9,2021-09,1.241,0.008
9,2021-10,0.0,0.0
9,2021-11,4.198,11.754
9,2021-12,10.547,8.148
9,2022-01,10.119,9.488
9,2022-02,0.0,0.0
9,2022-03,17.629,0.005
9,2022-04,10.762,0.44
9,2022-05,5.308,0.531
9,2022-06,1.901,0.006
10,2016-01,1.955,0.001
10,2016-02,44.437,0.035
10,2016-03,14.336,0.05
10,2016-04,5.214,0.167
10,2016-05,2.998,0.408
10,2016-06,21.202,0.002
10,2016-07,24.979,2.288
10,2016-08,3.02,0.001
10,2016-09,12.432,0.001
10,2016-10,2.231,0.108
10,2016-11,10.687,0.013
10,2016-12,13.95,0.007
10,2017-01,11.807,0.003
10,2017-02,0.0,0.0
10,2017-03,2.771,1.016
10,2017-04,11.19,0.243
10,2017-05,4.622,1.039
10,2017-06,30.302,0.01
10,2017-07,7.027,0.092
10,2017-08,0.0,0.0
10,2017-09,10.084,0.004
10,2017-10,0.0,0.0
10,2017-11,5.422,0.016
10,2017-12,12.67,0.021
10,2018-01,0.0,0.0
10,2018-02,0.0,0.0
10,2018-03,5.842,1.43
10,2018-04,45.238,0.071
10,2018-05,3.208,0.001
10,2018-06,0.0,0.0
10,2018-07,2.318,0.0
10,2018-08,2.529,0.069
10,2018-09,0.0,0.0
10,2018-10,1.227,0.476
10,2018-11,1.407,1.095
10,2018-12,8.869,0.106
10,2019-01,7.948,0.238
10,2019-02,0.0,0.0
10,2019-03,0.0,0.0
10,2019-04,19.637,0.714
10,2019-05,1.491,1.133
10,2019-06,5.462,1.304
10,2019-07,15.054,0.005
10,2019-08,17.476,0.008
10,2019-09,5.225,0.347
10,2019-10,4.281,0.005
10,2019-11,0.922,0.039
10,2019-12,1.52,0.189
10,2020-01,18.461,0.018
10,2020-02,0.0,0.0
10,2020-03,0.0,0.0
10,2020-04,37.964,0.081
10,2020-05,5.966,0.071
10,2020-06,12.172,0.006
10,2020-07,3.619,0.001
10,2020-08,3.354,0.123
10,2020-09,47.942,0.038
10,2020-10,2.544,0.073
10,2020-11,3.811,0.05
10,2020-12,8.509,0.09
10,2021-01,20.211,0.071
10,2021-02,0.0,0.0
10,2021-03,30.194,0.062
10,2021-04,4.23,0.003
10,2021-05,17.136,0.037
10,2021-06,2.215,0.0
10,2021-07,1.927,0.001
10,2021-08,3.298,0.018
10,2021-09,3.302,0.038
10,2021-10,0.001,0.0
10,2021-11,5.487,0.004
10,2021-12,2.687,0.017
10,2022-01,5.974,0.025
10,2022-02,0.0,0.0
10,2022-03,3.2,0.006
10,2022-04,11.922,0.044
10,2022-05,10.087,1.171
10,2022-06,1.417,0.043
11,2016-01,633.31,0.016
11,2016-02,726.747,0.018
11,2016-03,574.455,0.016
11,2016-04,3.204,0.132
11,2016-05,2.125,0.305
11,2016-06,664.465,0.016
11,2016-07,225.053,6.596
11,2016-08,62.064,0.015
11,2016-09,2286.159,0.015
11,2016-10,1.059,0.044
11,2016-11,49.768,0.036
11,2016-12,731.801,0.017
11,2017-01,609.209,0.017
11,2017-02,0.0,0.0
